,organizer,session-title,text
understanding Okinawan/Ryukyuan performance as part of Japanese cultural property. And finally, Daria Melnikova's 
discussion of Hi Red Center examines the use of bodies and images in the group's artistic practices, interpreting these in 
relation to the era's image politics. Our two discussants address questions of art and politics from the perspectives of 
film/media studies (Laura Lee) and political science (Mary Alice Haddad) respectively. 
"

7,Paul Berry,Rethinking the Scope and Significance of  Sensoga (War Painting) During the 15-,"The topic of  sensoga (war paintings), a loosely defined genre of art referring to Japan's involvement with the 15-Year 
War (1931-1945), has been surrounded with debate since the US's seizure of a limited group of these works during the 
turmoil of the Allied Occupation of Japan.  Today, the number of sensoga researchers in America, Japan and elsewhere, 
with a variety of contested views, has grown to such a degree that it is increasingly difficult to establish a coherent arena 
for discussion among them.  Despite the multitude of approaches, however, there has emerged a set of common 
presumptions that has shaped not only the results of each research effort but the very nature of what is being investigated. 

This multi-national panel will seek to challenge the established parameters of the investigation of sensoga through 
presenting diverse theses that identify and explore some major overlooked territories of scholarship.  Individual papers 
will address issues that provide new perspectives to gain a more comprehensive understanding of sensoga: Paul Berry 
presents a new organizational structure of the notion based on exhibitions and international comparisons; Reita Hirase's 
talk discusses the impact of the Army on the public through its sponsorship of traveling exhibitions; Yasuko Tsuchikane 
examines the enigmatic status of religious art produced during the war for a Buddhist institution; and Megumi Kitahra 
analyzes the alteration and production of war paintings during the Occupation in the  Reports of General MacArthur. 
"

8,Christopher Lowy,Embodied Texts: Rescripting Modern Japanese Literature and Media History ,"Much has been said about the particular characteristics of the Japanese writing system such as its employment of three 
distinct scripts (kanji, hiragana, and katakana) and its possibility for intertextual glossing. These particularities, however, 
are often described in essentialized and/or self-exoticizing terms which inhibit productive discussion of said script and its 
relationship to literature and culture. With that in mind, this panel will consider the codependent nature of script and text 
from various modes of production in terms that actively reject notions of determinative uniqueness while recognizing its 
actual effects on the larger cultural sphere. 

Seth Jacobowitz will read Nishi Amane's calls for a phonetic system of Romanized Japanese script against his fascination 
with Egyptian, Phoenician, and Aztec scripts. Miyako Inoue will discuss how the development of the kana-typewriter in 
the late nineteenth century lead to the re-sexualization of writing as a masculine enterprise and to the reunion of the man's 
hand with language. Finally, Chris Lowy will re-read Tanizaki Jun'ichiro's The Key (1955) â€“ a text written in two distinct 
written styles â€“ in terms that move discussions of the narratives structure away from a male/female binary to a 
center/periphery binary. Our two discussants will help us think through these questions that seem to straddle the linguistic 
and literary at every corner: Zev Handel, a historical linguist who specializes in the development of East Asian writing 
systems, and Tsuboi Hideto, a scholar of Japanese literature who was written extensively on the aesthetic role of script in 
modern literature. 
"

9,Andrew Bernstein,Omenology and Ritual Responses to Disaster Among Heian-period Elites ,"Omens and rituals concerning both personal and collective disasters preoccupied the elites of Heian Japan.  By examining 
the interpretive apparatus surrounding a particular type of disaster and/or portent, each paper in this panel adds to our 
understanding of how the explanation and manipulation of such inauspicious phenomena determined the fortunesâ€”or 
rather, misfortunesâ€”of those elites.  Andrew Bernstein focuses on the divinations and other rituals surrounding Mt. Fuji's 
eruptionsâ€”frequently viewed as omens of epidemicâ€”to better comprehend the culture of fear that shaped the dynamics 
of the Japanese court.  Alessandro Poletto looks at the tenth-century development of a new astrological discourse about 
earthquakes to shed light on the roles played by the court-appointed yin-yang specialists (onmyji) who promoted it.  
Kristina Buhrman also turns our attention skyward, in her case by showing how single-tailed comets, or  broom stars, 
were interpreted as signs of impendingâ€”and for those invested in the status quo, catastrophicâ€”regime change.  Taken 
together, these papers not only illuminate the ritual politics of Heian Japan but also contribute more broadly to our 
understanding of how disasters are both experienced and interpreted. 
"

10,Kazue Takamura,Immigration Detention and Human Rights of Non-Status Migrants in Japan ,"The primary goal of the panel is to engage with the emerging human rights concerns surrounding the treatment of asylum-
seekers and non-status migrants in Japan. Despite the global plea for the protection of refugees and forced migrants, Japan 
maintains highly restrictive and discriminatory policies regarding the admission of asylum-seekers and migrants, 
especially from low-income Asian countries. One of the key concerns is the precarious condition of migrants in 
immigration detention facilities. Migrant advocacy groups have documented unexplained deaths in detention facilities, 
prolonged detention, and violent and arbitrary deportation of migrants. Although Japan is a signatory to the Refugee 
Convention and other key international human rights treaties, its failure to address these human rights problems indicates 
a wanton disregard of international human rights law. In the current body of immigration literature, the problems of 
Japan's immigration detention and the condition of non-status migrants are largely underexamined. Our three panelists â€“ 
an anthropologist and two political scientists - will unpack such hidden human rights dilemmas in Japan. The first 
presenter, Kazue Takamura from McGill University, will interrogate Japan's immigration detention practice through the 
voices of migrant advocacy groups in Japan. The second presenter, Anderson Villa from Ateneo de Davao University, 
will examine Japan's immigration detention and deportation policies through the actual experiences of Filipino migrant 
workers and their family members. The third presenter, Petrice Flowers from the University of Hawaii, Manoa, will 
discuss Japan's broader human rights norms especially by questioning the norm of refugee protection. 
"

11,Grace E. Ting,Hierarchies and Rainbows in Japan and Beyond: Problematizing Western Rubrics of ,"Our panel presents analyses of Japanese premodern erotica, contemporary fiction, and transnational fandoms to debate the 
politics of interpreting representations of homoeroticism and/or homosociality within existing frameworks such as modern 
sexology, Anglo-American queer studies, and LGBTQ activism. We are particularly aware of problems arising from 
imperialist tendencies to impose  Western rubricsâ€”drawn from studies of the U.S. and Europeâ€”on non-Western 
contexts, as well as an overemphasis on the modern. 

Our panel moves across time between hierarchies in the 14th century, urgent politics of thriving transnational fandoms, 
and historical contexts of modern Japan. Sachi Schmidt-Hori examines the lord-vassal relationship between an elite youth 
and his wet nurse's son in the 14th-century text Chigo no sshi (A book of acolytes), pointing to how power relations 
subvert assumed hierarchies in male-male intercourse. Following, Casey Lee analyzes Orientalizing aspects of  Western 
queer theorizing about seme-uke in Japanese and Chinese BL (Boys Love) communities, while theorizing intimacies 
found within largely female fandoms. Grace Ting discusses the 2014 novel Rainbow Garden's depictions of lesbian 
happiness within an LGBT framework against the context of a longer transmedia history of female love and friendship in 
Japan. As our discussant, Samuel Perry offers his perspective as scholar and translator of queer work from Japan and 
Korea. 

Through the meeting of our projects across divisions such as homoerotic/homosocial, female/male, premodern/modern, 
and text/fan, we show our divergent methods of engaging with power relations, definitions of  queer/ness, and LGBTQ 
activism in a conversation exploring and challenging mainstream assumptions concerning gender and sexuality. 
"

12,Tomoyuki Sasaki,"The Constitution in Dispute: Japan Debates Peace, Sovereignty, and Democracy ","Japan's so-called  peace Constitution has a history of controversy. Since its birth during US occupation, it has provoked 
vigorous discussions over peace, sovereignty, and democracy. Prime Minister Abe from the conservative Liberal 
Democratic Party has affirmed his eagerness to amend the Constitution by 2020 to break with the  postwar regime 
constructed by occupation forces. This panel brings together specialists from political science, history, and international 
relations, to join this political debate, examining court cases, popular culture, and citizens' movements. First, Shunichi 
Takekawa traces the evolution of two divergent views on constitutional revision proposed by Japan's major conservative 
newspapers: the Yomiuri and Sankei. He examines their discussions of the military, the emperor, and popular sovereignty, 
thereby setting the broader context for the subsequent papers. Tomoyuki Sasaki analyzes theoretical problems raised by 
conservative calls for constitutional revision. Focusing on court cases over constitutional rights, he questions the need to 
amend a document that has been democratically maintained for seventy years. Tom Le elaborates on Japan's anxiety over 
remilitarization under the Constitution through his nuanced analysis of a popular cinematic text, Shin Godzilla (2016), 
challenging more conventional readings of this text. Gabriele Vogt investigates the citizens' movement in Okinawa and 
the democratic notion of global citizenship, which activists have pursued to stage their protests within and beyond the area 
of the Constitution's application. Finally, Tsuneo Akaha uses his expertise in international relations to offer insight into 
the topics raised by the presenters and locates their significance within the international context. 
"

13,Marianne Tarcov,"Bodies in Pain, Pleasure, and Flux: Transgressive Femininity in Japanese Media and ","Across a diverse set of texts from Japanese media and literature, ranging from professional wrestling to avant-garde 
writing to video games, this panel explores the fluid relationship between femininity and the body, where one is neither 
defined nor determined by the other.  

Ben-Youssef examines Takahara Hidekazu's Gamushara (Live Recklessly, 2015) cycle of women's professional 
wrestling documentaries, in which a villain wrestler's retirement match becomes a meditation on the loss of a 
transgressive feminine identity centered around violence. 

Hemmann investigates the gaps between Japanese and Anglophone fan reception of the video game character Linkle. 
What do these gaps reveal about the industries that produce popular media, and about feminist discussion in fandom 
communities? 

Osborne analyzes the female body-in-pain in the 1960s work of writer Kanai Mieko, who invokes a bodily-engaged 
readership as active participants in the act of writing, rather than as passive recipients. 

Tarcov argues that, in 1910s Japanese Symbolist poetry and perfume advertising, there emerges a distinctive mode of 
imagining femininity, one where  true womanhood is defined, not by a bodily female essence, but by fluidity, by the 
ability to transform using cosmetics as a tool of metamorphosis. 

Interrogating borders not only between genders, but also media, genres, and nations, the texts discussed here investigate 
transgressive femininity in Japanese media and literature, from the onset of mass media in the 1910s, to the radicalism of 
the 1960s, and into the present day. 
"

14,Eugenia Bogdanova-Kummer,Networks of Modern Japanese Art: Personal Dimensions ,"Critically reconsidering the historiography of modern Japanese art, this panel spotlights the professional network of 
Japanese art historian, abstract painter, theoretician, and innovative curator Hasegawa Sabur (1906-1957). Key promoter 
of abstraction in Japan, Hasegawa contributed to developing several areas of modern art, including surrealist photography, 
abstract painting and sculpture, and avant-garde calligraphy. Active in Japan, France, and later the United States, 
Hasegawa initiated artistic dialogue between artists and theoreticians previously unrelated to one another, and formed 
unique theories that generated new constellations of art works, artists, and ideas. 

Inspired by the upcoming exhibition on Hasegawa's collaboration with an American sculptor Isamu Noguchi (1904-1988) 
to be on view in New York, San Francisco and Yokohama in 2019, this panel brings together scholars from the United 
States and Japan for a focused discussion about Hasegawa's place in modern Japanese art. To reexamine Hasegawa's 
often overlooked accomplishments, panelists address Hasegawa's interactions with other artists and theoreticians of his 
time. This approach represents the postwar art system as a network of individual agents, who form art historical thinking 
in an interactive exchange between co-thinkers, followers, competitors, and antagonists. Each paper in this panel 
examines Hasegawa's interaction with a particular artist, including Hasegawa's contacts with the leader of the Gutai 
group Yoshihara Jir (1905-1972), avant-garde calligrapher Inoue YÅ«ichi (1916-1985), and German painter and graphic 
designer Hans Richter (1888-1976). The panel also features a contribution by a visual artist and robotics designer Okazaki 
Kenjir, who introduces his original theory of abstraction informed by Hasegawa's ideas. 
"

15,Namiko Kunimoto,"Spectacle and Crises at the Tokyo Olympic Games: 1940, 1964, and 2020 ","The spectacle of the Olympic Games provides an opportunity to present a vision of unityâ€”of a city, of a nation, or of the 
international community.  But competing visions of what such a unified entity should look like often lead to crises. In the 
case of the three Olympic Games planned for Tokyo, one of the world's largest cities, attempts to regulate internal and 
external relationships reveal Japan's careful negotiation of urban transformation, domestic politics, and international 
relations through the symbols and rhetoric of this global event. This interdisciplinary panel explores the use of spectacle to 
create social unity in the realms of politics, aesthetics, and the environment in the contexts of the  phantom Olympics of 
1940, the successful 1964 Games, and the forthcoming 2020 Olympiad. How do the discursive tensions between 
municipal politics and state politics, and between nationalism and internationalism, generate consequences for the 
environment, for literature, and for visual art? How have the Tokyo Games mobilized citizens to enact dissent in the arts, 
on the streets, and through official channels? How have these responses informed one another? Why are the Olympics 
such a fruitful venue for these contestations? This panel brings together art historical, historical, and literary 
methodologies to examine the diachronic narratives of unity constructed around the spectacle of the Tokyo Olympic 
Games and the crises these narratives provoked. 
"

16,Daqing Yang,Cosmopolitan Scientists of Empire: Japanese Experts in Trans-war and Trans-,"Under the influence of John Dower, Chalmers Johnson and Andrew Gordon, historians have come to regard continuities 
across the Second World War to be a key in understanding 20th-century Japanese institutions and practices. This is also 
the case with many Japanese scientists including Nobel prize laureates. They forged close ties with global scientific 
communities at the start of the 20th century, which were cut off by the war in the late 1930s and early 1940s, only to be 
resumed after Japan's defeat in 1945. As recent studies begin to show, no less important for understanding modern Japan 
and the world of science were those Japanese scientists who played a direct or indirect role in Japan's colonial enterprises. 
Many of these men came from elite families, had studied or traveled to the West, and were considered as  cosmopolitan 
gentlemen of science. After the wartime hiatus they managed to reconnect with the international community, often 
through American colleagues and America-led institutions. As geneticists, geologists and zoologists, their personal 
trajectories epitomized another key feature of Japan's own 20th-century historyâ€”from one of the leading colonial empires 
to a subordinate to the U.S. but certainly not a passive bystander in world affairs. More significantly, the scientific 
knowledge produced for and in imperial Japan went on to gain wider recognition and even played a part in shaping the 
postwar world. In this sense, modern Japan's scientists and their expertise became as trans-imperial as they were trans-
war. 
"

17,Amy Stanley,"Reconsidering Recreating Japanese Women: On the Past, Present, and Future of ","Thirty years ago, a group of scholars, most of them women at public universities in the Midwest and the West, gathered at 
a conference in Tucson, Arizona and presented their research in what was then the emerging field of Japanese women's 
history. The result was the pioneering collection Recreating Japanese Women, 1600-1945 (ed. Gail Lee Bernstein, 
University of California Press, 1991).  In this volume, scholars of social, demographic, and cultural history, art history, 
and anthropology considered the diverse historical experiences of women and, in the words of the editor, investigated the 
 creation of female gender in Japan. Published when gender was a relatively new category of historical analysis, and 
most  standard histories of Japan ignored women, it became the defining work in the field. Decades later, its essays are 
still frequently cited, and they are mainstays on undergraduate and graduate syllabi. 

In this roundtable, a multigenerational group of historians of Japan, including two of the original contributors to 
Recreating Japanese Women, will look back at the volume, reflect on what has (and has not) changed in the last three 
decades of scholarship in women's and gender history, and consider some possibilities for future directions in the field. 
Anne Walthall will look back at the original project and the challenges participants faced in convincing Japanese studies 
to take women seriously. Sally Hastings will consider the difficulties scholars still encounter in writing women's history 
and interrogate the unstated assumptions that continue to shape our work. Marnie Anderson will discuss the intellectual 
history of the field in both the United States and in Japan across the twentieth century, with special attention to the turn to 
gender history that occurred around the time the volume was published. Andrew Gordon will discuss the achievements of 
the field and point to some future possibilities and challenges, including the ongoing need for transnational and 
comparative work that addresses Japanese experience. Finally, Yurika Wakamatsu will offer a new perspective from the 
field of Japanese visual culture, which raises questions about the importance and limitations of the categories of  women 
and  women's history. 
"

18,Gergana E. Ivanova,Selling the Classics: Heian Literature in Manga ,"This panel will present four perspectives on manga (graphic novel) adaptations of Heian (794-1185) literary works and 
their roles in the popularization of classical literature in twenty-first century Japan. How has the manga medium re-
invented texts from the distant past? What strategies does it employ to market these works and to what ends? How do 
graphic novels construct Japan's national tradition and character in reaction to trends such as globalization and 
multiculturalism? What insights do these adaptations provide about manga's function as a powerful tool for expanding 
cultural literacy? 

The panelists will approach these questions considering the multiple functions that manga appropriations of Heian-period 
texts perform in Japan today, while drawing parallels to some of their medieval and early modern illustrated renditions. 
Mika Saito will examine nationalistic overtones in a recent adaptation of Taketori monogatari (The Tale of the Bamboo 
Cutter, early 10th c.), while Joshua S. Mostow will consider the role of visual intertextuality in transposing Ise monogatari 
( The Ise Stories, 10th c.) into a manga form. Gergana Ivanova will focus on new perceptions of what Makura no sshi 
(The Pillow Book, early 11th c.) is as presented in graphic novels, and Pana Barova Ã–zcan will take up images of the 
reading woman and their implications in Sarashina nikki (The Sarashina Diary, ca. 1058) manga. 
"

19,Robert Tuck,Writing Men and Women in Imperial Japan:  Performing and Contesting Gender in ,"This panel combines close analysis of individual literary works with study of the social and material conditions in which 
they arise, to ask how, where, and by whom gendered subjectivity could be performed and contested in Imperial Japan. 
Ranging from early Meiji to wartime, the papers share a common interest in subversions or contradictions of hegemonic 
gender norms: women writing kanshi (Sinitic poetry), boys becoming girls' slaves, men refusing to dress as men, and 
feminist romantic novelists working for the militarist state. The papers analyze how writers challenged the gendered 
dynamics of the literary genres of kanshi and romance novels, and of the behavioral realms of childhood games and dress-
codes, to articulate their voices as individuals and to offer broader criticisms about prevalent social ideologies. 

Tuck's paper highlights early Meiji female kanshi poets' use of the quasi-erotic poetic topos of the boudoir, the feminine 
emotional resonance of this trope enabling the circumvention of male concerns over whether women should write kanshi 
at all. Suzuki explores Tanizaki Jun'ichirÅ™s 1911 story  Boy and its presentation of children's secret games as a venue 
in which to imagine terrifying subversions of gender dynamics. Yasuda considers how Dazai Osamu's works depict the 
social coding of  fashion under the wartime state, as Dazai's characters alternately resist and conform to clothing-related 
gender norms. Lastly, Frederick traces the development and reception of Yoshiya Nobuko's  emotional style, drawing 
attention to the performative aspects of this female-gendered prose style across diverse contexts ranging from feminist 
erotic prose to wartime reportage. 
"

20,Seok Won Lee,"Empire, the World and the International: Rethinking Postwar Japanese Intellectual ","A massive body of literature has revealed how American value systems â€“ democracy and the market economy â€“ 
dominated postwar Japanese politics, culture and society. On the other hand, recent studies show another facet of postwar 
Japan, that is, how a new  Japanese subjectivity was sought in the early postwar period through the movements of radical 
Marxism, literary circles, local towns. To understand the conundrum of the preponderance of American values and the 
search for a Japanese subjectivity, one needs to examine how Japanese subjects were exposed to various ideas that 
constituted the postwar concept of the world. More importantly, revealing the intellectual trajectories of early postwar 
Japan would not be possible without tracing the continuity and discontinuity of Japan's wartime discourses. Three 
presentations in this panel show these intertwined aspects of the early formation of postwar Japan from the perspective of 
intellectual history. In doing so, this panel aims to answer a set of questions, focusing on but not limited to (1) how the 
Kyoto School philosophers â€“ virtually advocates of wartime Japanese empire â€“ remapped the spatial and historical 
concept of the world in the early Cold War, and (2) how the concept of democracy and a public encounter with or top-
down engineering of democracy through the media was discussed by postwar Japanese intellectuals. Finally, this panel 
explores the question of the early postwar discussion of Asia and the international order by a group of postwar Japanese 
social scientists, most of whom were supporters of Japan's wartime empire. 
"

21,Miriam Chusid,Matrix and Materiality: Re-conceptualizing Icons and Embodied Objects in Japanese ,"This panel seeks to re-conceptualize the notion of icons and embodied objects in Japanese Buddhist visual and material 
culture, and to ask how art and rituals promulgated larger belief systems. It has long been recognized that Buddhism is a 
religion whose tenets are constantly being absorbed, reinterpreted, and disseminated through images. Icons hold a 
particularly important place in Buddhist practice and thought: as the embodiment of a deity's presence, they have the 
power to impart benefits on a receiver when ritually activated. While scholarship has greatly elucidated the function of 
these objects, less well studied is the visual matrix from which these images were given form, and ultimately, meaning. 
This panel aims to go beyond an inquiry of the role that Buddhist icons played in a ritual arena to ask how architectural 
setting, spatial context, artistic tradition, or monastic lineage exerted influence on the ways in which these images were 
presented to and perceived by their viewers. Can objects besides icons embody a presence? If so, how was this presence 
visually manifested and communicated? Through a series of case studies, this panel addresses: how Buddhist palimpsests 
embodied the deceased's memory and recovered his or her existence; how the natural environment contributed to the 
sacred aura of the Eleven-headed AvalokiteÅ›vara at Hasedera; how the transformation of King Enma into an icon 
fundamentally altered the nature of the deity; and how medieval sculptural representations of Shtoku Taishi's 
manifestation of the Buddha's eyeball at age two powerfully invert the modern scholastic gaze. 
"

22,Hiroaki Kawamura,Entanglements and Meshworks in Japan: Japan Through the Lens of Posthumanism ,"Since the 1960's, various social theories have influenced our understanding of Japanese society. Among others, post-
modernism (e.g., Miyoshi and Harootunian 1989; Sugimoto 2014; Denoon et al. 2001) helped shed light on such issues as 
national identity, gender politics, internal diversity, and encouraged researchers to pay more attention to processes of 
Japan-making. However, this effort still fails to examine Japan holistically since those frameworks are all anthropocentric 
by nature. Analysis is always from human viewpoints based on the assumption that humans are different and detached 
from anything else. In reality, humans are constantly engaged in dynamic interaction with others (e.g., robots [O'Mathuna 
2015], microbiome [Roden 2015], ghosts [Haynes 2017], non-human animals [Haraway 2003], cyborgs [Haraway 1984, 
Lavender III 2017]). Drawing scholars from anthropology, literature, and philosophy, this interdisciplinary panel will 
examine contemporary Japanese society by recognizing it as a  zone of entanglement (Ingold 2008) for humans and non-
humans.  

Kawamura will look at how humans and non-human animals develop perception together through practices of touching. 
Cook will examine entanglements between the microbiome and food allergies in Japan, focusing specifically on human 
efforts to alter their microbial relationships. Ma's paper contends that the Japanese anime Ghost in the Shell and its 
Hollywood remake feign an off-white or yellow-ish soul (the  ghost named Major Motoko) secreted within a posthuman 
cyborg body that is suspiciously white. Saha will examine the trend that is now prevalent in Japan to proceed towards the 
development of humanoid robots designed and marketed specifically to enhance and augment human society. 
"

23,Susan Schmidt,"Earning Your Stripes as an Academic: Advice on Publishing, Presenting, ","An academic career rests on a foundation of teaching and scholarship. Being a dedicated and inspiring teacher and a hard-
working and ambitious scholar is the all-important first step in advancing in the academy. However, building a career 
requires other, more practical, skills as well. This panel focuses on professional development resources and skills for 
younger faculty and graduate students in the Asian language and literature field, though the information it offers will be 
relevant to those in any field. A group of professionals and senior scholars with decades of experience in mentoring 
younger colleagues will discuss: getting published, in both journal and book formats; interviewing for positions and other 
professional opportunities; developing winning presentations; collaborating with others in your field; and identifying and 
applying for scholarships, grants, and fellowships. Editors on the panel represent the journals Japanese Language and 
Literature (published by AATJ) and Foreign Language Annals (published by the American Council on the Teaching of 
Foreign Languages), and the academic publisher Columbia University Press. In addition to senior faculty and publishing 
professionals in the Japanese and Asian language and literature fields, the panel will include a representative from the 
American Association of Teachers of German, to describe how that field supports its members who teach German 
language and literature. The speakers will share their own experiences and introduce professional development resources 
both in print and online. Members of the audience will be invited to share their experiences in a general conversation to 
close the session. 
"
