organizer,session-title,text
earthquake. Bin Xu will discuss how the earthquake revealed both the strength and weakness of ordinary Chinese citizens 
volunteering under an authoritarian state and how the disaster has been remembered and forgotten in political and cultural 
practices. Maria Repnikova will explain how the earthquake served at once as a turning point for media-state relations and 
as a dramatic example of the contradictions in states crisis management that ensue to this day. Everett Zhang will discuss 
how survivors resentment regarding the deaths of school children was informed by and reinforced a different sense of 
natural disaster and justice in China from that present in the 1976 Tangshan Earthquake. 

 
"

Uganda Sze Pui Kwan,"Collaboration, Competition and Intelligentsia Circle for a New China Horizon ","Intellectual ideas are never produced in a vacuum. It emerges from debates, collaboratively or contestably, across cultures 
and continents. This panel explores the formation of intelligentsia circles that takes the form of both cooperation and 
competition with their intellectual other, whereby new linguistic dispositions, conceptual apparatus, and modes of 
explicating patterns are formed. Four papers echo on the concept of shared horizon, expounded by Peter Gordon, while 
focusing on the different possible content of the proposition What is China, in relation to the framework of traditional 
Sinology and modern Chinese studies. DesForgess paper studies the Qing academics who downplayed the instrumental 
purpose of the civil examination system to inquire into an analytical understanding of the systems inner strength. The 
format of these inquiries was as radical as those produced by the learned societies in Europe. Saarelas paper explores the 
dialectical vision reflected through a group of European Sinological grammaticians on deciphering the Manchu language 
in the academic arena. The paper concludes that this effort has finally taken stride when individual animosity was 
discarded. Kwan discusses the hostility conjured during the race of understanding China by the British and the French 
imperial interpreters in the nineteenth century. Using the firsthand experiences with the local Chinese people, the British 
shaped a new phase of Chinese studies in Anglophone world.  Chen argues for a subtle collaboration of appropriating the 
Athenian legacy by both sides of Chinas 1920s cultural war, which underlined rediscovery and reincarnation of classical 
Chinese heritage in Chinas post-classical age. 
"

Suyoung Son,Chinese Practices of Intellectual Property ,"The rampant imitation, counterfeiting, and falsification of goods in contemporary China have led to vehement debates 
over understandings of intellectual property. On the one hand, China has been condemned for failing to guarantee the 
protections like Western copyright law has done; on the other hand, Chinese culture has been excused for privileging 
tradition over creativity and communal possession over individual rights. While these two positions appear to be at odds, 
they proceed from the same assumption: that China did not have an indigenous concept of intellectual property before the 
arrival of modern international law from the West at the beginning of the twentieth century. Challenging this predominant 
view, this panel explores concepts and practices related to intellectual property that have emerged along with the rapid 
expansion of the market from the sixteenth to the early twentieth centuries. Integrating textual, visual, and material 
evidence, the panelists explore the formation of trademarks and copyrights, examining how these practices were mediated 
through inscriptions, portraits of the publisher, silk loom-marks, and seals and stamps. As a starting point to discuss 
hitherto unexplored Chinese practices of intellectual property, this panel aims to move beyond merely adding non-
Western materials. It will also shed light on the historical contingencies behind the development of modern intellectual 
property by reexamining far-reaching contests over originality and authenticity, authorship and craft, and the shifting 
values assigned to words and things in pre-twentieth century China. 
"

Jerome Doyon,Political Socialization of Elite Chinese Students: A Trans-disciplinary Approach ,"How do the party and state institutions in the surviving communist systems manage to attract young and educated recruits 
and guarantee their lifelong commitment to a political career? This question is particularly relevant in investigating 
evolving communist systems, such as post-Mao China, where revolutionary ideology no longer functions as a key 
structuring element and where a liberalized employment market provides ambitious young individuals with many 
attractive career options beyond the party-state bureaucracy. This panel tackles this question by looking at various forms 
of political socialization for Chinese students. From the high school to the end of graduate studies, we unveil various 
mechanisms which transform students perceptions of their professional paths, influence their trajectories, and eventually 
cultivate their commitment to a career in the party-state. Each of the four papers investigates various mechanisms and 
hierarchies within school systems in which students are incorporated, including the Party organizations in high schools 
and universities, as well as its youth organizations, which maintain a management monopoly over students 
extracurricular activities in schools. Because our central interest is in elite renewal, the papers focus mainly on the 
countrys best high schools and universities, which provide the most cadres to the Party-State. The papers methods vary 
from experimental research to ethnographic observation, and their analytical approaches range from the sociology of 
education to the study of informal political ties. Thus, while they all treat the issue of political socialization, they offer a 
diversity of perspectives. 
"

Jonathan K. Skaff,Slaves And/or Servants: Human Bondage in Chinas States and Societies over the ,"This panel examines the role of slavery in Chinese history, a generally neglected topic. Lack of scholarship on human 
bondage, as Robin Yates has noted previously, has led China to be overlooked in the burgeoning field of slavery in world 
history. Yates begins the panel by considering recently unearthed legal and administrative documents of the Qin and Han 
dynasties. His paper grapples with challenges of definition, particularly distinguishing between slaves, servants, and other 
low-status individuals in private households and state service. Jonathan Skaff also utilizes excavated sources, Tang 
Dynasty slave contracts and travel permits. The latter mention slaves, servants, and other Silk Road travelers. He finds 
that slaves of foreign and domestic origin supplied the majority of labor to elite Tang households and supplemented the 
profits of Inner Asian merchants. Like Skaff, Don Wyatts paper reveals that slavery in China was entangled with 
practices of greater Eurasia. The victorious Jurchen Jin army profited from the enslavement of the defeated Northern Song 
populace in 1127. Moreover, during the Mongol Empire, Turk warriors and Korean females were trafficked over long 
distances. Johanna Ransmeiers paper on the late Qing and early Republican periods argues that lines between slaves, 
servants and wives all outsiders who were integrated into households contractually were unclear. This underlying 
problem, together with Marxist approaches to Chinese history, served to obscure the persistence of slavery and need for 
emancipation into the twentieth-century. Finally, the discussant, Pamela Crossley, who also has engaged in research on 
slavery, will offer her insights. 
"

David J. Lebovitz,Reevaluating the Coalescence and Evolution of Chinese Verse Forms ,"This panel will diachronically explore the processes by which Chinese verse forms coalesce and evolve. It will shed light 
on the material, compositional, and critical practices that underlie the evolution of rhyming verse in China, and reevaluate 
the bounds of poetry and literature as these terms translate Chinese textual forms. While one may consider shi, fu, or 
other categories of rhyming verse as bounded or implicitly static categories, at least two recent developments in the field 
have begun to erode this assumption: first, rhyming verse texts have been newly discovered in manuscripts that defy both 
thematic norms and bibliographic schemes of classification; second, meta-critical perspectives that examine processes of 
composition, critique, compilation, imitation, and forgery have revealed both the emergence of genres and deflections in 
the prototypical theme, topic or form of readily identified genres. The panel seeks to employ these new sources and 
methodological perspectives to rethink the history of Chinese versification. David Lebovitz (University of Chicago) will 
employ manuscript sources to explore the problems of categorizing verse forms prior to Han bibliographies; Thomas 
Mazanec (UC Santa Barbara) will investigate the coherence of early medieval zan around an anti-lyrical poetics of 
exteriority; Su Fu (Princeton) will probe the redefinition of the sao genre in critical readings of the Song dynasty; and 
Feiran Du (Harvard) will discuss the boundaries between poetry and prose in Song criticism. David Schaberg (UCLA) 
will serve as discussant and Paul W. Kroll (University of Colorado, Boulder) will chair the panel. 
"

Shaohua Guo,Of Performativity and Parody: Cultural Politics in Contemporary China ,"This four-speaker panel investigates the political ramifications of studying Chinese popular culture as it travels across 
geographical boundaries and academic disciplines. Through an analysis of four performance genres - online videos, 
experimental theater, film, and television series - this panel seeks to expand the current understanding of cultural politics 
in contemporary China. 

Taking, as a case study, Papi Jiang, Chinas most popular Internet celebrity in 2016, Jie Zhang delineates the ways in 
which Papi Jiangs shrewd appropriation of media conventions contributes to the viral dissemination of her self-made 
videos. Delving into Meng Jinghuis use of metatheater over a span of two decades, Hongjian Wang provides new 
analytical angles from which to explicate Mengs controversial transition from an avant-garde director to one catering to 
the mainstream market. By analyzing the transmutations of male bodies in the series A Chinese Odyssey (1995-2015), Jun 
Lei demonstrates how a gendered approach to Stephen Chows movies sheds new light on understanding identity politics 
in Hong Kong. Finally, Shaohua Guo examines Fated to Love You (2008), one of the most popular Taiwanese idol 
dramas, and argues that the dramas trans-regional appeal is largely attributable to its calculated endeavor to mediate 
geopolitical relations among Taiwan, Hong Kong, and mainland China.    

All four studies address how performativity and parody are appropriated in diverse media spaces, while highlighting the 
intricate interplay of media conventions, technological affordances, and collective and individual actors in jointly shaping 
the cultural dynamics in contemporary China. 

 
"

Timothy Clifford,Literary Anthologies and Information Management in Imperial China ,"In China, literary anthologies have long mediated between what Margaret Cohen and Franco Morretti have called the 
great unread and its canonical fraction. Despite this key role, however, anthologies have not received as much 
scholarly attention as they deserve. The most well-known have been viewed as too facile and derivative to merit serious 
study, and the less well-known have defied traditional methods of textual scholarship by virtue of their sheer quantity. 
Drawing inspiration from the field of information management, our panel conceptualizes the anthologys function in 
terms of compressing, ordering, and regulating readers access to literary documents, and explores how this function 
reflected and structured new understandings of literature and literary history. 

Tians paper traces a long-term shift in how anthologies arranged their selections, describing the breakdown of older 
classification systems and the new notion of literature that emerged. Chens paper dives into a mass of now forgotten 
ancient-style poetry anthologies produced in the late imperial period, mapping their citation practices and proposing a new 
method for measuring the impact of individual anthologies. Patterson and Clifford, in contrast, focus on two famous and 
still widely used anthologies, comparing them with their competitors and delineating the arguments implicit in their 
purportedly neutral mode of simplification. Our papers range across historical periods and move comfortably between 
multiple scales of analysis. Together, we initiate a conversation on the role of anthologies which might be productively 
expanded to a broader East Asian context, and which speaks to a digital turn in recent literary scholarship. 
"

Kun Qian,Unreconciled Memories:  Oral Histories of the Cultural Revolution ,"It has been over half a century since the launch of the Cultural Revolution (1966-1976) in China and people who have 
experienced it are now aged and aging, yet no consensus has been reached about its origin, consequences, and aftermath. 
Instead, nostalgia and amnesia in contemporary China threaten to bury the truth of this notorious historical event. 
Responding to the urgency of saving memories, the East Asian Library at the University of Pittsburgh launched a CR/10 
(Cultural Revolution/10 minutes) Project in late 2016, collecting short interviews of people from different ages, 
professions, family backgrounds, and geographical locations that bring to light a multitude of narratives and perspectives 
about the memories of the Cultural Revolution. The ongoing CR/10 project is the first digital archive on the subject that 
will be used for teaching and research. 

This innovative and interdisciplinary roundtable will revolve around the screening of selected CR/10 interviews, followed 
by discussions among scholars in history, literature, sociology, and information science regarding the crystalline 
memories of the Cultural Revolution. Discussants have begun receiving recordings of the interviews, while subtitling in 
English and editing proceed. Discussants will bring their own expertise to comment on the significance of the CR/10 
project in particular, and oral history in general. For instance, Rongqian Ma (Library) will demonstrate how the digital 
archive in the library will help teaching and research and preserve memories of the Cultural Revolution; Paul Pickowicz 
(History) will incorporate his own filmed interviews on the subject to question the simplified victimization narrative and 
class-based interpretation to uncover the complex nature of his historical event; and Guobin Yang (Sociology) will discuss 
how the CR/10 project sheds light on the meanings of revolutionary tradition and political culture for the Cultural 
Revolution generation as well as the powerful influences of this political culture on their behavior in the Red Guard 
movement. As a whole, this roundtable discussion will address the crisis of memory and explore various perspectives, 
methodologies, and ways of collaborating to deal with controversial histories such as that of the Cultural Revolution. 

 
"

Emily Mokros,Rereading Qing History Through Diaries ,"How do we read and use diaries as historical sources? Recent publishing and database projects in China have created 
accessibility to diaries of both notables and relative unknowns. But even as diaries suggest tantalizing access to secret 
conversations and hidden motivations, they overwhelm with social complexities, coded language, and mundane routines. 
The papers on this panel consider late Qing diaries in light of governance, rebellion, diplomacy, and reform. As the papers 
demonstrate, diarists involved with official bureaucracies and projects had diverse personal, emotional, and official 
motivations for keeping daily records. Bingyu Zheng will explore ethnicity and urban space through the descriptions of 
daily life, routines and relationships in the diary of an adopted bannerman in nineteenth-century Beijing. Emily Mokros 
will consider the information-gathering techniques and emotional allegiances of a low-level capital official during the 
ravages of the mid-nineteenth-century rebellions. Jenny Huangfu Day will focus on global and domestic influences in late 
Qing envoy reports, reflecting transition away from the travelogues distinctive of early Qing envoys. Ke Ren will read a 
late Qing scholarly diary to map the intersections between political and publishing circles centered in Nanjing. Andrea S. 
Goldman, who has used diaries extensively in her work on Qing urban culture and politics, will comment on the papers. In 
addition to generating a conversation about how personal voices connect to overarching political narratives, each panelist 
will foreground primary sources by describing reading strategies and the limitations and advantages of diaristic sources. 
"

Di Luo,Beyond Literacy: Womens Pluralistic Approach to Cultural and Political ,"Womens liberation was at the core of the modernization agenda of twentieth-century Chinese reformists, revolutionaries, 
and social activists, within which female literacy was highly emphasized and has figured prominently in modern Chinese 
historiography. How women navigated the changing social environment and defined themselves is a question requiring 
further study. Drawing papers from the fields of History, Art History, Performance Studies, and Film Studies, this panel 
suggests that women oftentimes mobilized more diverse means oral, aural, visual, bodily, and cinematic to engage 
culture and politics and thus configure the image and ethics of woman in a vibrant and constantly changing way. Focusing 
on rural womens literacy learning experiences in 1930s and 1940s north China, our first paper suggests that even in the 
classroom setting, oral and aural experiences played a crucial role in womens self-making process, in addition to reading 
and writing. Our second paper examines visual representations that pertained to post-1949 literacy campaigns in China. 
Images of women teaching and learning, which circulated as propaganda posters, contributed to the redefinition of 
aesthetic tastes and womens virtue in socialist China. Our third paper questions the power of literacy from a bodily 
perspective by uncovering the dynamic social choreography of the mass dance movement from 1958 to 1960. Through a 
cinematic lens, our last paper concludes this panel by examining how a female director used multimedia approaches to 
express herself and explore the politics of space and its relationship to the representation of women in post-1978 China 
within the context of globalization. 
"

Jane Duckett,New Directions in Research on Policy Making in China ,"Research on policy making in China has grown, particularly since the turn of the 21st century. As a result, we now know 
more about the role bureaucratic actors in designing and formulating policy, as well as the increased influence of non-state 
actors in some policy spheres and their ability to get ideas on the policy agenda. Our panel further advances understanding 
by introducing new methods, data and conceptual frameworks that together show the possibilities for a more dynamic 
understanding of policy making, elite policy coordination, and the limited impacts of new, more inclusive policy agendas. 
Duckett incorporates dynamic network analysis into an examination of how health policy ideas and networks have 
evolved over time. Huhe and Stepan analyse a large dataset on leading small groups (LSGs) to explore intra-elite 
networks and coordinating mechanisms. Zhu, Xiao and Ding explore improved portrayals of marginalised groups in 
policy and media circles and the obstacles to translating them into meaningful programmatic change. Together the papers 
form a panel that opens up new directions in research on policy making in China - directions that are better able to show 
evolving policy networks and endogenous policy change, track interactions among elite policy makers and coordination 
and across policy areas; and show the obstacles to meaningful social policy implementation. 
"

Carlos  Rojas,Sex and Sexuality in Greater China and Inner Asia ,"Coming soon 
"

Nancy Steinhardt,Overturning Old Ideas About Yuan Architecture ,"The four papers of this panel explore how longstanding ideas about Yuan architecture, and thereby China under Mongol 
rule, can be overturned by 21st century discoveries, methodologies, and perspectives. The first two papers examine Yuan 
tombs that have become known in recent years. Steinhardt argues that despite the burial goods that point to a Chinese 
tomb occupant, the brick, dome-on-square structure and location identify a tomb as Muslim and for Yuan-period royalty. 
With a focus on actual burial structure and painted or carved building motifs, Lins paper reconsiders how a presumably 
enclosed and cohesive burial space was deconstructed in the Yuan period, and he then explains what a different 
conception of tombs the new construction reveals. Zuo turns to anthropological studies of contemporary vernacular timber 
architecture and exposes a technological regression that existed in Yuan architecture due, she argues, to social and 
economic causes. Yu investigates Xia Yong, a painter who takes architecture as his subjects and turns buildings into two-
dimensional representations, to show how a Yuan artist redefined Song-period representations of architecture. This panel 
intentionally chooses four kinds of architecture the brick structure, underground burial, timber-frame structure, and 
representations on silk to explore the topic in the widest possible way. By challenging generally accepted views of these 
four manifestations of Yuan architecture, we seek to pose and suggest answers for questions about art, architecture and 
craftsmanship during the Yuan dynasty. 
"

Lala Zuo,Overturning Old Ideas About Yuan Architecture ,"The four papers of this panel explore how longstanding ideas about Yuan architecture, and thereby China under Mongol 
rule, can be overturned by 21st century discoveries, methodologies, and perspectives. The first two papers examine Yuan 
tombs that have become known in recent years. Steinhardt argues that despite the burial goods that point to a Chinese 
tomb occupant, the brick, dome-on-square structure and location identify a tomb as Muslim and for Yuan-period royalty. 
With a focus on actual burial structure and painted or carved building motifs, Lins paper reconsiders how a presumably 
enclosed and cohesive burial space was deconstructed in the Yuan period, and he then explains what a different 
conception of tombs the new construction reveals. Zuo turns to anthropological studies of contemporary vernacular timber 
architecture and exposes a technological regression that existed in Yuan architecture due, she argues, to social and 
economic causes. Yu investigates Xia Yong, a painter who takes architecture as his subjects and turns buildings into two-
dimensional representations, to show how a Yuan artist redefined Song-period representations of architecture. This panel 
intentionally chooses four kinds of architecture the brick structure, underground burial, timber-frame structure, and 
representations on silk to explore the topic in the widest possible way. By challenging generally accepted views of these 
four manifestations of Yuan architecture, we seek to pose and suggest answers for questions about art, architecture and 
craftsmanship during the Yuan dynasty. 
"

Anatoly Detwyler,"Data Past, Data Present: Chinese Narratives Of/as Information History ","From the digitization of collections, to the development of computational tools for document markup and statistical 
analysis, new forms of data-centered research are expanding the ways in which scholars engage with texts. Crucial to the 
rise of the so-called digital humanities is the task of datafication the extraction of morselized information from a 
document and its aggregation into larger sets a process that underlies empirical analysis and visual summary, producing 
not only new historical and literary knowledge but even new ways of knowing altogether. This panel seeks to both 
showcase and historicize data in China studies in order to explore the intersections between the datafication of the past 
and the past of datafication: What can late imperial bureaucratic conventions of embedding citational data tell us about the 
formal tensions between linear narrative and nonlinear dataframe (Wang)? When did textual datafication become a 
historiographic tool, and how did it produce accounts of its own technologies and impulses (Detwyler)? What is the more 
recent history of computational humanities in China, and what are its connections to and differences with the rise of 
digital humanities in the West (Chen)? How can digitized corpora help us identify patterns in premodern textual practices 
of citation itself a latent form of data management in Chinese writing (Sturgeon)? Ranging from the pre-Qin to the 
present, these diverse case studies collectively provide an opportunity to critically locate data as a subject and method 
within the study of Chinese history. 
"

Yidi Wu,History and Memory in the PRC: Competing Narratives of the Anti-Rightist ,"Writing memoirs of the Maoist era can be a challenge to the Chinese state control of historical narratives, especially with 
the increasing suppression of dissent under Xi Jinping. Nevertheless, those who wish to recall pasts diverging from the 
orthodox have remained resilient and innovative in their efforts. How should we understand these beneath the radar 
works? This panel, taking the Anti-Rightist Campaign of 1957-58 as a case study, discusses four facets of this interplay 
between history and memory. We present narratives from across the ideological spectrum that compete not only against 
the state, but with each other. Though memory is self-serving and therefore unreliable in restoring history, we explore 
memoirs as a discourse and for the positions taken by their writers. 

Dayton Lekner traces the ongoing struggle between Party loyalists and those labeled Rightist for appropriation and 
control of the key imagery, and associated memories, of the campaign. Yidi Wu explores changing perceptions of the 
label Rightist itself - from being marginalized and punished to taking pride and becoming dissidents. William Sima 
explores the biographies of three victims of the campaign as both a way of challenging Party lore and ideology, and as 
problematic in their return to the tradition of biography as history. Last, Anja Blanke investigates the interplay of 
competing narratives among memoirs written by survivors of the campaign. Overall, our panel contributes to a better 
understanding of the corpus of unofficial writing surrounding the Anti-Rightist Campaign and asks what place history, 
and historiography, might afford these works. 
"

Ethan Michelson,Advances in Understanding Chinese Court Behavior ,"New Supreme Peoples Court (SPC) rules which took effect in the beginning of 2014 requiring every court at every level 
to publish every decision online (with some exceptions, and as part of broader online government transparency initiatives) 
introduce the tantalizing possibility of revolutionizing the study of Chinese court behavior. At the present time, almost 
everything we know about Chinese courts comes from the qualitative analysis of interview and ethnographic data and the 
quantitative analysis of small samples of manually coded court decisions. The public accessibility of tens of millions of 
written court decisions necessitates radically different strategies of data collection, management, and analysis. The papers 
in this panel represent path-breaking efforts to chart this new research frontier by showcasing innovative analytical 
techniques, fresh empirical findings, and cautionary lessons about data bias. The papers in this panel also collectively 
embody the ideals of diversity championed by the AAS in terms of discipline, rank, gender, ethnicity, nationality, and 
methodology. Liebmans paper, drawing on over one million court decisions from Henan Province, is intended as a 
primer on the use and misuse of online court decisions. Michelsons analysis of the same court decisions from Henan 
reveals discrimination against women on a massive scale in the context of divorce litigation. Lis paper, also on divorce 
litigation, reveals the nature and extent of important discrepancies between the language of courts in action and the 
language of published decisions. Finally, Smith tackles the issue of bias in the selective publication of SPC death penalty 
review decisions. 
"

Jeffrey Wasserstrom,China and the World in 1900: Comparative Perspectives ,"1900 was a dramatic year for China, due to such events as the the fifty-five day siege of Beijing laid by anti-Christian 
militants known as Boxers and Qing Dynasty troops, and the international invasion by an Allied Army with soldiers 
from eight countries.  This panel will ask how new light can be shed on these actions by paying attention to comparisons, 
some of which move across space, others across time.  In 1900, many participants and observers thought of Chinese 
events as related to or entwined with conflicts underway in other places (e.g., the Tagalog Rebellion), and there was much 
talk as well about echoes of the past (e.g., Britons often likened the siege of Beijing to one that took place during the 1857 
Mutiny).  After 1900, moreover, analogies have been drawn between the Boxers and other groups, including the Red 
Guards.  Each participant in this panel will bring up comparisons that move between countries, periods, or both.  The 
format will be innovative in that the panel will be divided into three parts.  In the first, geographical comparisons will be 
central.  Xu will give a short presentation that moves between China and the United States and Sebring will give one on 
contrasting visual works produced in Asia and the West in 1900.  After their presentations both no more than ten 
minutes there will be twenty minutes for discussion among all panelists and give and take with the audience. The second 
third will concentrate on chronological comparisons, with Wasserstrom exploring ways that the Chinese crisis could 
generate a sense of deja  vu, while Bickers looks at later events that can be seen as replays of sorts of things that happened 
in 1900.  Again, the presentations will be short, the time for discussion extended.  The final third will have no 
presentations just discussion.  To start it, though, Meyer-Fong, a specialist in earlier periods, and Mitter, who has worked 
most on World War II, will give short comments that reflect on the comparisons raised up to that point and perhaps 
suggest further ones. 
"

Anne H. Reinhardt,"Approaches to Economic Reconstruction in China, 1930s-1950s ","The three decades of the 1930s-1950s were a time of intensive change in China, as the Japanese invasion was followed by 
the civil war and the Communist victory in 1949.  War and political transitions serve as conventional boundaries of 
historical periodization, but such boundaries can be interrogated and challenged by identifying the underlying structures 
and continuous views that run through them.  Focusing on industrial organizations, this panel investigates approaches to 
economic reconstruction dating from the pre-war or wartime periods that persisted through the tumultuous years that 
followed.  The panel presents three types of industrial organization: low-level local industrial cooperatives, a leading 
shipping company with a national reach, and the largest state-owned manufacturer of iron and steel.  All three originated 
in the pre-war or wartime period and navigated the political transitions of the postwar in pursuit of their visions of a stable 
and independent China.  Together, these archive-based studies argue for the resilience and continuity of economic ideas, 
management models, and above all, shared priorities for reconstruction that emerged from the wartime period and 
appealed across the political spectrum in subsequent years. 
"

Luke Habberstad,Law in Early Imperial China: Interpretation and Transformation ,"The discovery of thousands of legal and administrative manuscripts, along with careful re-readings of transmitted texts, 
has allowed scholars to reconstruct the legal institutions of Chinas early imperial period (221 BCE-220 CE) in 
unprecedented detail. As all students of early Chinese law readily admit, however, recovered statutes and ordinances 
themselves tell us little about legal praxis. The study of legal interpretation has thus largely been confined to high-level 
decisions and the use of the Classics in Han jurisprudence. Correspondingly, it can be difficult to set aside statist 
assumptions of law as a strategy of social control when we focus on areas beyond the most elite levels of the imperial 
court. This panel attempts to do precisely that, however, by asking two questions: 1) How does our picture of early 
imperial law change when we assume that laws were not just instruments of control but also sites for interpretation? 2) 
How was legal meaning transformed as statutes, edicts, problematic cases, precedents, and petitions were transmitted 
across social and spatial divisions? Each panelist will address these questions through analysis of sources that reflect the 
dynamics of legal interpretation and transformation at distinct social levels and geographic areas, from local counties and 
commanderies to regional kingdoms to the imperial court. Rather than the traditional format of successive presentations, 
the chair will discuss larger trends in the field of early legal history, followed by shortened and collaborative presentations 
of key findings, concluding with a response from the discussant designed to elicit wider audience participation. 
"

Xiaolu Ma,Reconfiguring the Past: Religio-Philosophical Inquiry in Modern Chinese Literature ,"This panel integrates historical, literary, religious and philosophical inquiry to examine how modern and contemporary 
Chinese intellectuals interweave a wide spectrum of Eastern and Western religio-philosophical traditions into their 
creative writing and translation. As scholarly consensus has it, the introduction of Western intellectual history into China 
in the twentieth century provided an impetus towards ideological modernization; in this process of self-rejuvenation, the 
dialectical relationship between Western culture and Asian tradition compelled Chinese intellectuals to reconfigure their 
cultural legacy while appropriating Western thought. Drawing into discussion several religio-philosophical traditions 
(specifically wu-shamanism, Tibetan Buddhism, Zen Buddhism, Taoism, and Christianity), this panel takes a comparative 
perspective on four key episodes, spanning the period from the late Qing era to the contemporary period, in which writers 
linked Chinese and Western literature and religion/philosophy. Shuyang Pan examines the reconstruction of literary wu-
shamanism by two Chinese writers, Xiao Hong (1911-1942) and Duanmu Hongliang (1912-1996), as they confront the 
conflict between the primitive and the modern. Xiaolu Ma explores the early twentieth century Chinese transculturation 
and secularization of Tolstoyism, with its deep roots in Russian Orthodox Christianity and Asian Taoism and Buddhism. 
Jianmei Liu interrogates the connection between the Zen Buddhist comprehension of Dao and the representation of 
women in Nobel laureate Gao Xingjians novels and plays. Finally, Thomas Moran investigates the intersection of 
Western philosophy and Tibetan Buddhism in a study of the representation of human consciousness in Ning Kens 2010 
novel Tian Â· Zang. 
"

Regina Llamas,"An Archeology of the Popular: Renegotiating Language, Point of View, and Authority ","Profound shifts in the popularity and status of drama as well as the literary uses of vernacular language, fictional 
portrayal, and humor have garnered much attention in recent studies of late imperial Chinese theater (1550-1911).  Less 
well understood are the roots of these transformations in works from earlier periods.  Centering on readings of discourses 
associated with theater and song during middle period China (1115-1550), this panel explores the expanding use of 
colloquial language and the embrace of a broader social range of figures such as actors, peasants, and diasporic authors in 
writings from the Yuan and Ming. 

The papers seek to engage with the following questions: Do these works reflect a spoken language of any sort, or are they 
inventing a new literary standard that makes use of colloquial elements? Do they introduce new points of view only to 
dismiss them as comic fodder for a literary elite or do they empower outsiders? Do the new forms of humor reinforce the 
existing literary socio-hierarchies, or do they challenge cultural authority? Is the meaning of acting on stage a form of 
didactic suasion, an incantatory and illusionistic invocation of historical paragons, and/or a platform for the virtuoso 
display of vocal, verbal, and comic skills?  

Taken together, the papers in this panel reveal how shifting language registers, points of view, and a new found authority 
of humor challenged conventional standards of literary expression, thus paving the way for new literati norms and 
attitudes vis-a-vis performance-related forms in the late Ming. 
"
